City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,constitucion,-35.3333,-72.4167,19.5,58,0,9.23,CL,1674848457
318,geraldton,-28.7667,114.6,17.23,82,0,3.09,AU,1674848512
319,coihaique,-45.5752,-72.0662,17.34,45,75,3.09,CL,1674848513
320,kyabe,9.4515,18.9449,29.32,14,24,1.13,TD,1674848513
321,mao,39.8885,4.2658,7.31,65,20,7.2,ES,1674848514
322,meulaboh,4.1363,96.1285,22.95,94,100,2.79,ID,1674848514
323,rio gallegos,-51.6226,-69.2181,22.03,24,75,7.72,AR,1674848512
324,irbeyskoye,55.6428,95.4522,-6.22,91,100,6.66,RU,1674848515
325,eyl,7.9803,49.8164,23.88,73,0,6.61,SO,1674848515
326,plyussa,58.4308,29.3654,-8.01,98,60,0.76,RU,1674848515
327,boda,4.3189,17.4695,27.09,21,100,1.5,CF,1674848516
328,victor harbor,-35.5667,138.6167,23.71,58,100,5.32,AU,1674848516
329,vardo,70.3705,31.1107,-0.01,86,75,6.69,NO,1674848517
330,lata,40.1629,-8.3327,5.51,79,4,1.53,PT,1674848517
331,popondetta,-8.7537,148.2534,23.08,91,94,1.15,PG,1674848518
332,ancud,-41.8697,-73.8203,16.12,62,18,5.43,CL,1674848518
333,flin flon,54.7682,-101.865,-24.09,58,0,5.14,CA,1674848519
334,port-gentil,-0.7193,8.7815,27.98,78,40,3.09,GA,1674848519
335,gat,31.61,34.7642,21.55,32,94,6.19,IL,1674848519
336,conceicao do araguaia,-8.2578,-49.2647,27.26,78,100,1.32,BR,1674848520
337,olafsvik,64.8945,-23.7142,2.75,62,100,12.99,IS,1674848520
338,loanda,-8.8368,13.2343,27.0,78,75,2.57,AO,1674848496
339,east london,-33.0153,27.9116,24.25,85,34,6.61,ZA,1674848521
340,north bend,43.4065,-124.2243,8.42,99,100,3.6,US,1674848521
341,norcasia,5.5778,-74.8852,29.68,53,60,1.89,CO,1674848522
342,roebourne,-20.7833,117.1333,28.64,74,11,2.79,AU,1674848522
343,boende,-0.2167,20.8667,24.1,69,52,1.46,CD,1674848523
344,chumikan,54.7183,135.315,-30.39,89,87,8.04,RU,1674848523
345,kropotkin,45.4375,40.5756,-0.13,69,1,4.63,RU,1674848524
346,aykhal,66.0,111.5,-33.72,100,100,2.64,RU,1674848524
347,beidao,34.5686,105.8933,-3.01,29,100,0.2,CN,1674848525
348,carnot,4.9409,15.8665,25.97,20,88,1.67,CF,1674848525
349,hamilton,39.1834,-84.5333,5.61,60,0,9.77,US,1674847773
350,pontianak,-0.0333,109.3333,24.99,100,75,1.03,ID,1674848526
351,mahon,39.8885,4.2658,7.31,65,20,7.2,ES,1674848527
352,taoudenni,22.6783,-3.9836,14.99,15,1,3.72,ML,1674848527
353,iroquois falls,48.7669,-80.6831,-8.1,89,100,5.66,CA,1674848528
354,deputatskiy,69.3,139.9,-33.4,85,13,0.96,RU,1674848528
355,miri,4.4148,114.0089,24.08,94,40,1.03,MY,1674848529
356,nantucket,41.2835,-70.0995,5.08,59,0,6.17,US,1674848279
357,la grande,45.3246,-118.0877,4.43,85,100,4.31,US,1674848529
358,manokwari,-0.8667,134.0833,25.37,83,100,1.92,ID,1674848529
359,korla,41.7597,86.1469,-10.39,70,1,0.95,CN,1674848530
360,curico,-34.9833,-71.2333,30.06,21,0,1.54,CL,1674848531
361,ulladulla,-35.35,150.4667,19.42,91,3,1.49,AU,1674848531
362,mineiros,-17.5694,-52.5511,24.18,81,87,4.92,BR,1674848532
